Time(ms),Current,Best-so-for,Itrs,New of Old
65.0,35246.0,35246.0,1,New
120.0,35172.0,35172.0,2,New
199.0,35168.0,35168.0,3,New
260.0,35166.0,35166.0,4,New
384.0,35231.0,35166.0,7,Old
501.0,35419.0,35166.0,10,Old
637.0,35311.0,35166.0,14,Old
763.0,35170.0,35166.0,18,Old
890.0,35171.0,35166.0,22,Old
1015.0,35167.0,35166.0,26,Old
1143.0,35176.0,35166.0,30,Old
1244.0,35178.0,35166.0,33,Old
1287.0,35126.0,35126.0,34,New
1359.0,35177.0,35126.0,36,Old
1460.0,35200.0,35126.0,39,Old
1592.0,35229.0,35126.0,42,Old
1693.0,35134.0,35126.0,45,Old
1815.0,35126.0,35126.0,49,Old
1934.0,35126.0,35126.0,53,Old
2035.0,35149.0,35126.0,56,Old
2181.0,35230.0,35126.0,59,Old
2320.0,35165.0,35126.0,63,Old
2432.0,35258.0,35126.0,66,Old
2547.0,35126.0,35126.0,70,Old
2649.0,35126.0,35126.0,73,Old
2803.0,35126.0,35126.0,76,Old
2944.0,35128.0,35126.0,80,Old
3063.0,35164.0,35126.0,84,Old
3185.0,35126.0,35126.0,88,Old
3310.0,35126.0,35126.0,92,Old
3438.0,35128.0,35126.0,96,Old
3554.0,35126.0,35126.0,100,Old
3669.0,35126.0,35126.0,104,Old
3783.0,35197.0,35126.0,108,Old
3889.0,35203.0,35126.0,112,Old
4011.0,35169.0,35126.0,116,Old
4120.0,35126.0,35126.0,120,Old
4230.0,35136.0,35126.0,124,Old
4354.0,35126.0,35126.0,128,Old
4457.0,35126.0,35126.0,132,Old
4567.0,35149.0,35126.0,136,Old
4677.0,35172.0,35126.0,140,Old
4808.0,35165.0,35126.0,144,Old
4913.0,35126.0,35126.0,147,Old
5034.0,35129.0,35126.0,151,Old
5139.0,35126.0,35126.0,155,Old
5256.0,35126.0,35126.0,159,Old
5373.0,35257.0,35126.0,163,Old
5481.0,35192.0,35126.0,167,Old
5599.0,35161.0,35126.0,171,Old
5707.0,35288.0,35126.0,175,Old
5823.0,35151.0,35126.0,179,Old
5933.0,35154.0,35126.0,183,Old
6039.0,35129.0,35126.0,186,Old
6148.0,35206.0,35126.0,189,Old
6266.0,35128.0,35126.0,193,Old
6372.0,35134.0,35126.0,196,Old
6499.0,35200.0,35126.0,200,Old
6626.0,35188.0,35126.0,204,Old
6727.0,35128.0,35126.0,208,Old
6834.0,35199.0,35126.0,212,Old
6938.0,35170.0,35126.0,216,Old
7056.0,35126.0,35126.0,220,Old
7177.0,35126.0,35126.0,224,Old
7287.0,35199.0,35126.0,228,Old
7393.0,35157.0,35126.0,232,Old
7508.0,35126.0,35126.0,237,Old
7623.0,35126.0,35126.0,241,Old
7729.0,35404.0,35126.0,245,Old
7849.0,35138.0,35126.0,249,Old
7968.0,35216.0,35126.0,253,Old
8073.0,35141.0,35126.0,257,Old
8188.0,35199.0,35126.0,261,Old
8299.0,35136.0,35126.0,266,Old
8417.0,35131.0,35126.0,271,Old
8534.0,35145.0,35126.0,275,Old
8646.0,35198.0,35126.0,279,Old
8750.0,35190.0,35126.0,283,Old
8863.0,35142.0,35126.0,288,Old
8973.0,35130.0,35126.0,292,Old
9084.0,35136.0,35126.0,296,Old
9209.0,35126.0,35126.0,300,Old
9328.0,35163.0,35126.0,304,Old
9436.0,35152.0,35126.0,307,Old
9548.0,35192.0,35126.0,311,Old
9678.0,35147.0,35126.0,316,Old
9792.0,35128.0,35126.0,320,Old
9916.0,35127.0,35126.0,324,Old
